id,월키,날짜,부서,담당,제목,내용,매년반복
65,2025-07,7/3,"2학년부","기초학력","기초학력 실력향상수업 학기말 정리","2·3학년 기초학력 실력향상수업 담당교사에게 6/24 수업 진행상황 작성 안내(7/3까지 회신) → 7/3 리마인드 → 7/7 학습지원대상 지원협의회 → 7/16 출석부(복무와 겹치지 않게 작성)를 방학식(7/18)까지 2학년부로 제출받는 흐름으로 진행한다. 1차 향상도 점검은 2학기 개학 후(8/26) 협의록에 기재한다.",TRUE
66,2025-07,7/4,"보건","보건","교직원 응급처치(심폐소생술) 연수","연 1회 교직원 응급처치 연수를 7/4(금) 14:20~17:20에 실시하며, 6/27과 7/3 두 차례 사전 안내한다. 당일은 단축수업으로 일과를 조정(교무기획부 협조)하고, 별도로 2학년 학생 심폐소생술 교육(7/7)도 해당 교시 수업교사에게 안내한다.",TRUE
67,2025-07,7/7,"보건","보건","보건실 입실확인증 제도 시행","수업 중 보건실 이용 남용 문제로 6월 말 교감 주도로 부장회의·가정통신문 의견수렴을 거쳐, 7/7부터 수업 중 보건실 이용 시 교과·담임교사가 입실확인증에 서명해야 이용 가능하도록 제도를 시행한다. 양식에 교시 기재란을 추가하는 등 의견을 반영해 확정했으며, 벌점 기준 마련 논의도 병행됐다.",FALSE
68,2025-07,7/7,"교무기획부","교무기획부장","교원 겸직 허가 가이드라인 및 상반기 실태조사","사교육 불공정행위 근절 관련 교원 겸직 허가 가이드라인(사교육업체 강의·출제·컨설팅 겸직 금지, 허가기간 최대 1년, 겸직심사위원회 심의 필수)을 7/7 안내하고, 7/8 상반기 겸직 실태조사 해당자 회신을 받는다. 겸직 심사 관련 인사자문위원회(6/12, 8/25)도 수시로 열린다.",TRUE
69,2025-07,7/7,"과학정보부","과학정보부장","윈도우11 업그레이드 조치","윈도우10 기술지원 종료(2025.10.14)에 따라 전 교직원이 9/30까지 데스크톱·노트북 운영체제를 확인하고, 윈도우11이 아니면 쿨메신저 정보화유지보수 신청으로 접수하도록 안내한다. 포맷이 필요하므로 자료 백업을 사전에 안내한다.",FALSE
70,2025-07,7/8,"교무기획부","생기부","생기부 영역별 입력·반영 마감","7/8을 학교생활기록부 각 영역별 입력+반영 마감일로 운영한다. 동아리 담당(스포츠클럽 포함)은 누가기록+이수시간 반영·저장+특기사항 입력 3가지 모두 완료(하나라도 누락 시 검증 오류), 교과교사는 학급별 20% 이상 세특 입력(1학년은 전원), 2학년 협종·3학년 교과창체는 누가기록과 특기사항 입력을 점검한다.",TRUE
71,2025-07,7/8,"1학년부","기획(자유학기)","자유학기 생활통지표 동아리 특기사항 반영","1학년 동아리 담당교사는 자유학기 생활통지표에 동아리 특기사항이 출력되도록 7/17까지 나이스에서 [자유학기 학교생활통지표 관리]-[활동영역별 특기사항]에서 '학생생활 특기사항 가져오기'를 실행하고 저장해야 한다. 생기부 입력과 별개 작업이므로 누락되기 쉬워 별도 안내가 필요하다.",TRUE
72,2025-07,7/8,"교무기획부","기획(인사·복무)","익년도 명예퇴직 수요조사","2026년 명예퇴직 수요 파악 공문을 공람하고, 희망자(재직 20년 이상, 정년 전 1년 이상)는 7/16까지 메시지로 회신받는다. 신청이 아닌 수요조사임을 명확히 안내한다.",TRUE
73,2025-07,7/9,"교육연구부","교직원연수·청렴","법정의무연수·청렴교육 이수증 제출","4월 교직원 연수에서 안내한 법정의무연수 묶음과정과 청렴교육 이수증(총 2개)을 전 교원이 방학식(7/18)까지 PDF로 개별 제출하도록 하고, 7/9 미제출자 대상 리마인드를 보낸다. 미신청자는 서울시교육청교육연수원에서 신청·수강하도록 링크를 안내한다.",TRUE
74,2025-07,7/11,"교무기획부","성적처리","학기말 성적 확인·통지·마감","7/11 담임에게 7/14 조회시간 개인별 성적일람표 배부 안내(나이스 학급담임-학기말성적조회 출력), 학생 이상 신고는 7/17까지 교과교사에게, 7/19부터 나이스 학부모서비스 열람 안내. 7/18 오후 4시 성적 마감을 공지하고 담임은 출결 마감·생기부 반영 완료를 확인한다. 수정 필요 시 담당자가 마감 해제 후 재마감하는 절차다.",TRUE
75,2025-07,7/14,"교무기획부","기획(인사·복무)","여름방학 41조 연수·eVPN 신청","방학 중 41조 연수와 eVPN 신청을 안내하고 7/16 오전까지 복무를 상신받는다. 공무외 국외여행 계획서 양식은 공유자료실(교무기획부-방학계획)에 탑재하여 활용하게 한다.",TRUE
76,2025-07,7/15,"창의인문부","창의인문부장","학교 축제 이름 공모전 운영","11/7 축제를 앞두고 7/3 이름 공모 접수 → 7/15 후보작 투표 → 7/17 결과 발표(전체 359명 투표)의 3단계로 진행했다. 학생·교직원 전체 참여 행사로, 공모-투표-발표 일정 간격을 짧게 잡아 방학 전에 완료한 것이 특징이다.",FALSE
77,2025-07,7/17,"행정실","행정실장","방학 중 교실·특별실 관리 안내","방학 전 이틀간(7/17, 7/18 방학식 재안내) 각 실 관리사항을 공지한다: 쓰레기통·재활용품 비우기(음식물 악취 방지), 교실·복도 창문 안팎 걸쇠 잠금(빗물 유입 방지), 멀티콘센트·충전함·공기청정기 등 전자기기 전원 차단(대기전력). 별도로 각 실 보안점검표 정비도 학기말(7/15)에 요청한다.",TRUE
78,2025-07,7/18,"교무기획부","교무기획부장","방학식 운영 및 방학 전 안전교육","방학식 당일 일정(1교시 대청소·담임시간, 2교시 방송 방학식, 1·2학년 하교, 3학년 별도활동)을 40분 수업 기준으로 안내하고 일과표를 배부한다. 교감 지시사항으로 담임의 학생 안전교육 실시와 안전사고 발생 시 학교 보고 체계를 재전달하며, 생기부 관련 제출물은 담당자 기안내대로 마감한다.",TRUE
79,2025-08,8/18,"교무기획부","수업계","2학기 시간표 운영(임시→확정)","개학일부터 첫 주(8/18~22)는 임시 시간표로 운영하고 8/25부터 확정 시간표를 시행한다. 8/21 확정 시간표 안내 → 8/22 컴시간 알리미 이관 완료 공지 순서로 진행하며, 스포츠·학교자율·외부강사 수업 등 고정 요인 때문에 개인 시간표 불만에 대한 양해를 미리 구하는 것이 좋다.",TRUE
80,2025-08,8/18,"교무기획부","교무기획부장","개학일 학사 운영 안내","개학일 아침 시간표를 배부하고 담임이 학급 시간표를 학생에게 안내하도록 한다. 교감 안내사항으로 방학 중 비운 교실·복도·특별실 청소(컴퓨터 주변 먼지 포함), 점심 후 종례·하교, 종례 시 기본 생활·안전지도, 당일 15:30 전체 교직원회의 참석을 공지한다. 창체의 날(1~4교시) 운영 계획도 창의인문부에서 병행 안내한다.",TRUE
81,2025-08,8/19,"교무기획부","수업계","분기 보강수당 지급 확인","2분기(5/5~7/18) 보강 배정 현황 파일을 배부하고 당일 4교시까지 이의신청을 받는다. 보강 수당은 시간당 12,000원이며, 결강 교사 본인의 보강·일정 변경으로 수업이 감소한 교사의 보강·동아리 활동 보강은 지급 제외임을 명시한다.",TRUE
82,2025-08,8/19,"상담복지부","방과후","3기(2학기) 방과후학교 강좌 개설 수요조사","2학기 방과후학교(9/8~12/26, 총 20차시) 강좌 개설 희망을 조사한다. 아침반(주2회 7:30~8:15) 또는 방과후반(주1회 2차시) 중 선택, 12명 미만 신청 시 미개설·2차시 후 10명 미만 시 폐강, 수당 4,000원×20차시×수강인원. 8/22까지 구글시트 작성으로 신청받는다.",TRUE
83,2025-08,8/20,"체육안전부","안전점검·훈련","전국 민방위 훈련 대응","8/20 14시 전국 민방위 훈련에 맞춰 전날(8/19) 시간표 조정안을 안내하고 수정본을 재발송하며, 당일 아침 훈련 시작·대피 요령을 재공지한다. 훈련 시간과 겹치는 교시의 수업 조정과 방송 협조가 핵심이다.",TRUE
84,2025-08,8/20,"상담복지부","전문상담","1학년 마음교육 프로그램(구 심성수련) 운영","9~10월 월수금 방과후(15:15~16:25, 상담주간에는 앞당김)에 1학년 학급별 소그룹 집단상담을 운영한다. 담임은 8/22까지 남녀혼성 4개조 조편성 양식을 제출하고 학생들에게 사전 안내하며, 보호자에게는 이알리미 가정통신문으로 안내한다. 장소는 해당 교실 외 수학교실·Wee클래스 등 4곳을 확보한다.",TRUE
85,2025-08,8/20,"교무기획부","나이스·정보공시","정보공시 3차(9월) 입력·확인자 마감","9월 정보공시는 8/25부터 입력 가능하며 9/1 오전까지 마감한다. 부서 담당자가 항목 작성·마감 후 부장에게 확인자 마감을 요청하는 2단계 구조이며, 나이스-정보공시(확인자)-공시자료관리 경로로 제출자료 확인 후 확인자 마감까지 완료해야 한다.",TRUE
86,2025-08,8/20,"상담복지부","기획","2학기 상담주간 운영","8/25~9/5 2주간을 상담주간으로 운영하며 5분 단축수업을 실시한다. 상담 중 발견한 교육취약학생(정서·경제·부적응)은 상담복지부로 연계하도록 전체 교사에게 안내하고, 단축수업 일과는 교무기획부와 협조해 공지한다.",TRUE
87,2025-08,8/21,"체육안전부","체육행사","체육대회 교사 임장지도 편성 사전조사","9/12 체육대회의 교사 임장지도표 작성을 위해 당일 출장·연가 등으로 불참하는 교사를 8/22 퇴청 전까지 회신받는다. 대회 약 3주 전 복무 예정 조사 → 임장지도표 작성 순으로 진행한다.",TRUE
88,2025-08,8/21,"과학정보부","과학정보부장","미리캔버스 교육용 Pro 제공 안내","서울시교육청이 제공하는 미리캔버스 교육용 Pro를 sen.go.kr 계정 가입·로그인으로 사용할 수 있음을 안내한다. 2027년 2월까지 사용 가능하며 이후 유료 요소는 워터마크 처리됨을 함께 공지한다.",FALSE
89,2025-08,8/22,"교무기획부","기획(인사·복무)","결석 다수 학생 출결 관리(수업일수 1/3 규정)","학업성적관리규정상 결석+출석인정결석 합계가 수업일수의 1/3에 도달하면 이후 출석인정결석은 매회 학업성적관리위원회 심의가 필요하다. 총 55일 근처인 학생이 있는 담임은 결석 유형별 일수를 수시로 확인해 교무 담당 2인에게 보고하고, 체험학습 결재 시 해당 학생 여부를 반드시 재확인하도록 안내한다.",TRUE
90,2025-08,8/25,"교육연구부","장학","2학기 학부모 수업공개 운영","9/4(목) 6·7교시(40분 수업)에 전 교사가 최소 1시간 이상 수업을 공개하도록 시간표를 조정한다. 8/25 조정 시간표 배부 및 공개 불가자 당일 회신 → 지도계획 구글시트 8/27까지 작성 → 특별실 사용 중복 여부 확인 순으로 진행하며, 학부모 참석 여부는 이알리미로 수합한다.",TRUE
91,2025-08,8/25,"교육연구부","장학","2학기 교과협의회 일정 수합","9/1~9/30 중 교과별 1일을 선택해 교과협의회를 실시하며, 협의회비는 1인 20,000원이다. 날짜 결정 시 구성원 복무(조퇴·출장 등)를 확인해 복무자가 인원에 포함되지 않도록 하고, 8/28까지 구글시트에 날짜를 입력받는다. 이후 교과별로 품의를 올려 집행한다.",TRUE
92,2025-08,8/26,"교무기획부","고사계","2학기 평가계획 최종 대조 확인","학기 초 2학기 교과평가계획 구글시트가 기존 수립 평가계획과 동일하게 작성되었는지 교과별·학년별로 당일 중 확인하도록 요청한다. 평가계획 확정본과 공시·나이스 입력 내용의 불일치를 학기 시작 직후에 잡아내는 절차다.",TRUE
93,2025-08,8/27,"창의인문부","인문교육","아침 책 산책 프로젝트 학급문고 신청","서울시교육청 독서토론인문교양교육 예산으로 참여 학급에 책 15권+간이 책꽂이를 제공하고 아침조회 시간 독서를 운영한다. 희망 담임은 9/3까지 회신하며, 신청 과다 시 특정 학년 위주 선정 가능함을 안내한다. 도서는 장서인 날인 후 학급 배부하고 학급 간 교환 운영도 가능하다.",FALSE
94,2025-08,8/28,"교무기획부","성적처리","2학기 성적처리 선행작업(성취기준·수행평가 영역 등록)","학기 초 성적처리를 위해 학년별 교과 대표 교사가 9/5까지 나이스에서 ①성취평가기준 등록(국가교육과정 성취기준 가져오기) ②수행평가 영역·반영비율·만점 입력(학기말 반영여부 'O' 체크 필수)을 완료하도록 안내한다. 상세 클릭 경로를 함께 배포하면 문의가 크게 준다.",TRUE
95,2025-09,9/2,"행정실","계약·학운위","2학기 학교운영위원회 및 추가경정예산 요구","9/2 학운위 개최 예고와 함께 안건 내부기안(9/8까지), 제1회 추경예산 요구서(엑셀 작성 후 9/5까지 내부기안, 교감 서명) 제출을 안내. 이후 위원장 사정으로 9/23(화)로 변경되어 9/15 안건·발표순서 재안내 후 개최. 부서 내 다른 교사의 예산 요구 여부까지 부장이 확인해야 함.",TRUE
96,2025-09,9/2,"도서관","사서","교직원 희망도서 신청(3~4차 도서 구입)","9/2 제3차 도서관 자료 구입용 교직원 희망도서를 구글시트로 신청받기 시작(~9/25), 9/23 마감 전 재안내. 교과활용도서는 사서에게 별도 문의. 11/24에는 제4차 신청을 받는 등 분기별로 반복되는 업무.",TRUE
97,2025-09,9/4,"체육안전부","안전점검·훈련","매월 4일 안전점검의 날 운영","매월 4일(9/4, 10/4, 11/4 반복) 담임은 교실, 특별실 담당은 특별실, 행정실은 운동장·시설의 안전 상태를 점검하고 체크리스트를 작성해 공유자료실→체육안전부→안전점검체크리스트 폴더에 월별 탑재하도록 전체 안내.",TRUE
98,2025-09,9/8,"교육연구부","교직원연수·청렴","감염병 예방교육 등 법정의무교육 이수 관리","감염병예방법에 따라 매년 1시간 이상 감염병 예방교육이 법정의무교육에 포함됨. 서울시교육청교육연수원에서 '감염병 교육 기본 과정' 수강 후 이수증 pdf(파일명: 감염병예방이수증(성명))를 9/30까지 담당자에게 제출하도록 안내. 교직원 법정의무교육 목록은 구글시트로 관리.",TRUE
99,2025-09,9/8,"체육안전부","체육행사","스포츠어울림한마당(체육대회) 운영","9/12(금) 학생체육관에서 개최. 9/8 전 교직원 역할 분담·학생안전지도 협조 안내 → 9/10 전 교직원 복무를 8:20~13:20 일괄 출장으로 상신(불참자 제외), 좌석·매점·화장실 출입증·쓰레기 정리 등 세부 지침 안내 → 9/11 교무부에서 당일 복무 결재 안내 순으로 진행.",TRUE
100,2025-09,9/9,"교육연구부","연구기획","교직원 문화의 날 운영","9/17(수) 교직원 문화의 날(영화·전시·야구 중 선택)을 위해 9/9 최종 참여조사(9/10 마감) → 9/15 영화 관람 상세 안내 → 9/17 당일 복무는 15:30~18:50 근무지내 출장으로 일괄 상신. 사전 예매 후 취소 불가이므로 참여 확정 관리가 중요.",TRUE
101,2025-09,9/9,"교육연구부","장학","교과 협의회 실시 및 협의회비 집행","교과별 협의회 실시 시 ①협의회 날짜에 복무 확인 ②행정실(지출 담당)에서 법인카드 수령 후 사용, 영수증과 함께 부서명 메모를 붙여 반납 ③지출은 한 곳에서만 가능(음식점·커피숍 분할 불가). 협의회비는 1인 2만원이며 교과협의록은 월말까지 기안·결재해야 함.",TRUE
102,2025-09,9/15,"교육연구부","연구기획","교과학습준비물·교학공물품·공동연구도서 3차(최종) 신청","올해 마지막 물품 신청으로 9/15 안내 후 9/18 퇴청 전 마감 → 9/22~23 조건 검토 후 재안내(연장). 구입 목적 기재, 단가·수량 입력, 구입처 장바구니 담기, 판매명 그대로 입력이 필수 조건. 물품은 10/14 1층 교무실 앞 도착 후 신속 수령 안내.",TRUE
103,2025-09,9/15,"교육연구부","교과서","2026학년도 교과용도서 선정·심의","9/15 선정 공정성 확보를 위한 제척 사유 확인 → 9/19 선정 대상(6개 교과 9권) 및 절차 안내: 9/22~30 교과협의회에서 검인정 교과서 검토, 서식1(개별 평가표)·서식2·3을 교과협의록과 함께 10/1까지 연구부 제출 → 9/26 리마인드 → 10/13 학운위 심의안 작성. 선정 계획안 기안과 학운위 심의까지가 한 흐름.",TRUE
104,2025-09,9/18,"교무기획부","고사계","1,2학년 2학기 중간고사 운영(9/29)","9/18 시험감독 불가자(나이스 결재된 복무 사유 필수) 사전 신고 접수 → 9/22 학업성적관리·고사 연수 자료 배부(담임 매뉴얼, 감독 매뉴얼) → 9/29 당일 아침 시험감독 명단 최종 안내 후 시행. 고사 기간 중 조퇴 자제 요청(교감) 등 복무 관리 병행.",TRUE
105,2025-09,9/19,"교무기획부","성적처리","3학년 2학기 성적처리 일정 로드맵 공지","3학년 조기 성적 마감에 대비해 전체 일정을 미리 공지: 10/23 수행평가 입력 마감·학생 확인 → 10/27 일람표 제출+기말고사 시작(27~29일) → 11/5~6 정오표 배부·성적이의신청(체험학습 불가) → 11/11 학기말 일람표 배부 → 11/17 나이스 대국민 반영. 각 단계 전 세부 안내를 추가 발송하는 방식.",TRUE
106,2025-09,9/22,"교무기획부","고사계","선행출제 여부 점검 및 보고","국·수·영·사(역)·과 대상, 교육청 보고 교과와 학교 자체 점검 교과를 구분해 공유자료실 엑셀에 점검위원 명단과 점검표 작성. 기한은 중간 9/30, 3학년 기말 10/31, 2학년 기말 12/18이며 10/29 기한 임박 리마인드 발송.",TRUE
107,2025-09,9/22,"행정실","급여","2026년 맞춤형복지 단체보험 사전선택","공무원·기간제교원 대상 2026년도 단체보험 개인별 사전선택(9/16~10/13)을 맞춤형복지시스템에서 진행. 실비보험 미가입자는 증권 사본이나 credit4u.or.kr 출력물 제출 필요. 9/29 2차 안내로 추석 연휴 전 완료 독려.",TRUE
108,2025-09,9/22,"창의인문부","자율동아리","자율동아리 활동 마무리 및 나이스 입력","활동 인정 기간 4/1~9/30 종료에 맞춰 총 8회 이상 활동, 출석부·차시보고서 일치, 지도교사 도장 등 6개 항목 점검 후 보고서를 10/2까지 제출하도록 지도교사에게 안내. 이후 11/4 첨부파일 문구 그대로 나이스 동아리활동 특기사항 일괄 입력·학생부 반영 안내(90바이트 제한 유의).",TRUE
109,2025-09,9/23,"교무기획부","기획(인사·복무)","재량휴업일(10/10) 41조 연수 신청","추석 연휴 중 재량휴업일인 10/10에 대해 9/26(금) 12시까지 41조 연수 상신 안내(결재라인: 본인-교무부장-교감-교장). 국외여행이 10/10을 포함하면 계획서 작성, 연가 상신 시 계획서 불요. 연휴 중 해외 출국자는 교감에게 개별 보고해 연락체계 유지.",TRUE
110,2025-09,9/23,"2학년부","기초학력","기초학력 지원 사업 하반기 운영","9/23 학생 1인당 5만원 기초학력 교재비를 10/2까지 사용하도록 독촉(품의는 교무실 담당자에게 요청) 및 2차 향상도 점검 예고 → 10/30 학생 향상도 조사, 11/11 교과 성적·석차 기반 2차 향상도 협의록 기재 → 11/28 기초학력 지원협의회 개최로 마무리.",TRUE
111,2025-09,9/29,"교무기획부","교무기획부장","2026 수능감독관 선정 명단 작성","현재 근무 중인 전 교사 대상으로 감독관 명단을 작성하며, 감독 제외 특이사항 해당자는 10/1까지 교무부장·교감에게 사유 통보, 증빙서류는 10/13까지 교감에게 제출. 비교과·특수교사도 해당 사항 시 회신. 추석 연휴로 기한이 촉박하므로 즉시 회신을 독려한 것이 포인트.",TRUE
112,2025-10,10/1,"교장·교감","교감","교원 장기재직휴가 학교 지침 수립·시행","9/19 교육청 지침 기반 학교 지침(안) 의견수렴 → 9/25~26 인사자문위원회 협의 → 10/1 본교 지침 확정 안내. 재직 10년 이상 5일, 20년 이상 7일이며 2학기 사용 희망자는 10/15 16시까지 신청서 출력본과 재직기간 계산 파일을 교감에게 직접 제출.",TRUE
113,2025-10,10/2,"교무기획부","교무기획부장","교원 시·도 교류 및 수석교사 선발 신청 안내","2026.3.1.자 교원 시·도 교류(전출입·파견) 기본계획과 2026 수석교사 선발 운영 공문을 공람하고 기한 내 신청 안내. 9월에는 진로전담교사 선발·배치 공문도 동일 방식으로 안내했으며, 지원자 발생 시 교내 평판도 조사(교감 주관)가 뒤따름.",TRUE
114,2025-10,10/13,"교무기획부","고사계","3학년 2학기 기말고사(10/27~29) 운영","10/13 시험감독 불가자 사유(나이스 결재 필수) 당일 접수 → 10/17 고사원안 포장 일정 구글시트 작성 → 10/27~29 매일 아침 일차별 감독 시간표 안내, 고사 기간 1교무실 학생 출입 금지, 위클래스 별도 고사실 운영, 1·2학년 수업 정숙 지도 요청까지 한 흐름으로 진행.",TRUE
115,2025-10,10/14,"과학정보부","과학정보부장","교실 컴퓨터 철거 및 개인 장비 전환","윈도우11 업데이트 불가로 9/26 1,2학년 교실 컴퓨터 철거 예고(자료 백업·개인 노트북/태블릿 지참 안내) → 10/14 철거일 확정(10/27 오후, 전자칠판용 HDMI선은 유지, C타입 젠더 배부) → 10/29 3학년 13~14반 추가 안내. 철거 후 여분 모니터는 희망자에게 배부.",FALSE
116,2025-10,10/13,"창의인문부","창의인문부장","학교 축제 '청춘마루'(11/7) 준비·운영","10/13 교직원회의 후 학급·동아리 부스 운영 자료 배부 → 10/14 교사 특별부스 신청(10/17 마감, 부스당 예산 15만원) → 10/22 축제 당일 임장지도 계획 수립(지도 불가 시 대체자 확보 후 통보) → 10/24 부서별 업무 포함 운영계획안 공유 → 11/6 최종 안내 → 11/7 개최 후 사진·영상 수합.",TRUE
117,2025-10,10/17,"교무기획부","교무기획부장","수행평가 마감·학생확인 기준 및 나이스 마감","수행평가 마감·학생확인일(3학년 기말 기준 10/23)에 학생 서명 확인과 나이스 입력을 완료하고, 일람표는 고사 1일차(10/27)에 제출하되 미완료 학생은 지필 마지막 날(10/29)까지 기회 부여가 학교 공통 기준. 10/27 고사계가 나이스 전체영역 마감→일람표 출력→전 교사 도장→클립철 제출 절차를 상세 안내.",TRUE
118,2025-10,10/20,"과학정보부","방송·디벗","3학년 크롬북(디벗) 회수","서울시교육청이 11/17 3학년 크롬북을 전량 회수함에 따라 교내에서는 10/27 이후 3학년 수업 중 크롬북 사용 자제를 안내. 11월에는 회수용 종이상자를 각 부서에서 수합(교감 안내). 회수 일정 역산해 수업 계획을 조정해야 함.",FALSE
119,2025-10,10/20,"교육연구부","연구기획","교원학습공동체(교학공) 수업 나눔 주간 운영","10월 하순~11월에 걸쳐 교과별 수업 나눔을 순차 공지(수학 10/21, 기가정 10/22, 미술 10/23, 과학 11/3, 체육 11/21 등). 소속 교사는 필수 참관(시간표 변동 처리), 사전협의회는 패들렛 수업설계안에 피드백 댓글로 대체, 당일 15:30 수업나눔카페에서 사후협의회 후 병렬협조 협의록 기안·결재.",TRUE
120,2025-10,10/21,"행정실","행정실장","동절기 난방 가동 안내","기온 하강에 따라 10월 넷째 주부터 난방 가동을 시작하되 간절기에는 관리실만 우선 가동하고, 교실은 11월 중 날씨를 보아 개시. 교실 난방은 잠가두므로 학생들이 조작하지 않도록 지도 요청. 수능 연휴 등 장기 부재 시 난방·소등 점검 안내(교감)와 연계.",TRUE
121,2025-10,10/22,"보건","보건","교직원 국민건강보험공단 검진 안내","올해(홀수연도)는 홀수연도 출생 교직원이 검진 대상. 개인 종합검진·입원·임신 등으로 어려우면 공단에 검진제외 신청하고, 검진 후 기관·날짜를 보건실에 통보. 연말 예약이 어려우므로 조기 검진 독려하며 미검진 시 과태료 가능성 안내. 11/10, 11/20 미검진자 대상 재안내 발송.",TRUE
122,2025-10,10/24,"진로교육부","진로행사","전일제 진로의 날(10/30) 운영","1학년은 외부 진로직업체험(부장·담임 인솔), 2·3학년은 교내에서 자아이해캠프·고교학점제캠프·대학생 학과특강·U&I 검사 등 1~7교시 프로그램 진행. 교내 교사는 당일 시간표대로 교과별 임장지도, 검사 시간 임장 교사는 학급함의 검사 안내문 숙지 필요. 10/24 사전 안내 → 10/30 당일 재안내 → 종료 보고 순.",TRUE
123,2025-10,10/29,"생활지도부","기획","학교폭력 예방 기여 교원 승진 가산점 신청","교원 정원 74명 기준 1영역 24명, 2영역 5명(택1) 규모로 10/29~11/3 16:20까지 신청서를 교무실에 제출받음. 이후 11/4 기한 연장, 긴급 심사회의를 거쳐 11/6 선정 결과를 1교무실에 게시. 신청 규모 산정과 심사위원회 운영이 핵심.",TRUE
124,2025-10,10/29,"교무기획부","성적처리","3학년 기말 성적처리(채점~마감) 실무","10/29 답안 업로드 완료 후 당일 퇴청 전까지 나이스 일괄채점(서술형은 성적관리 탭 입력) → 11/5 담임이 조회시간에 정오표 출력·배부, 11/5~6 성적이의신청(교과교사는 OMR 확인 대응) → 11/6 16:20~11/7 08:30 사이 결시자·학적변동자 반영해 지필평가 성적 마감. 각 단계별 나이스 경로를 메시지로 상세 안내하는 방식.",TRUE
125,2025-10,10/30,"교무기획부","생기부","3학년 생기부 조기 입력(고입 제출 대비)","특성화고·자사고·외고 등 지원 학생은 원서 접수 전 생기부 제출이 필요하므로, 담임의 출결 마감을 시작으로 창체 자율·동아리·봉사·진로활동의 누가기록, 특기사항, 이수시간 반영을 지원교 마감일 이전에 완료하도록 담임·동아리 담당교사에게 안내. 안내용 패들렛을 상시 운영.",TRUE
126,2025-10,10/31,"교무기획부","기획(인사·복무)","2026년 2월말 명예퇴직 신청 안내","교육공무원 명예퇴직 시행계획 공문 공람: 공고기간 10/31~11/20, 신청기간 11/21~26(4일간). 희망자는 공문 참고 후 담당자에게 메시지로 연락하도록 안내. 11/5에는 중등 임용시험 1차 감독관 추천 공문도 함께 공람.",TRUE
127,2025-11,11/3,"교무기획부","교무기획부장","2학기 마지막 주 학사일정 변경","1학년 스포츠 시수 확보를 위해 2026.1.6(화)을 금요일 수업에서 월요일 수업으로 변경. 9월부터 스포츠클럽 시수 확보를 위한 마지막 주 수업 변경이 수차례 있었으므로, 변경 시 학생용 출력 안내와 동교과 강사 전달을 필수로 요구. 시수 산정 시점에 미리 점검 필요.",FALSE
128,2025-11,11/3,"행정실","행정실장","10월말 예산집행현황 중간점검","행정실장이 10월말 기준 부서별 예산집행현황을 배부하고 2학기 중반 중간점검 자료로 활용하도록 안내. 학년도말에 예산집행이 몰리지 않도록 조기 집행을 독려. 9월 추경, 11월 중간점검, 학년말 정산으로 이어지는 흐름.",TRUE
129,2025-11,11/3,"교육연구부","연구기획","학부모회 주관 가을 클래식 음악회 운영","11/10(월) 19시 음악실에서 개최하는 음악회를 11/3 안내하고 학부모 참석 신청을 수합. 종료 후 강사비 지급을 위해 주민번호·날인이 포함된 강사카드를 행정실 지출 담당에게 제출해야 하며, 서류 미비 시 지급이 지연되므로 강사카드를 사전에 정확히 받아둘 것.",FALSE
130,2025-11,11/4,"교무기획부","수업계","분기별 보강 수당 지급 확인","3분기(8/18~10/31) 보강 배정 현황을 첨부로 배부하고 당일 4교시까지 이상 여부 회신받아 수당(시간당 12,000원) 지급. 결강 교사 본인의 보강, 일정 변경으로 수업이 줄어든 교사의 보강, 동아리활동 보강은 지급 제외라는 기준을 명시.",TRUE
131,2025-11,11/6,"체육안전부","안전점검·훈련","기관합동 소방(화재대피)훈련","10/29 사전 예고(11/6 7교시 약 20분, 7교시 수업교사 임장지도, 수행평가·진도 지장 시 수업변동, 공강 교사는 지정 위치 안전지도, 지도 불가자는 사전 통보) → 11/3 세부 안내 → 11/6 당일 시행. 단축수업일과 겹쳐 시각 조정이 있었음.",TRUE
132,2025-11,11/7,"교무기획부","기획(인사·복무)","수능 시험실 감독관 위촉 및 복무 처리","9월 말 명단 작성에 이어 11/6 감독관 위촉 명단 확정 → 11/7 복무 안내: 위촉자는 11/12(수)·13(목) 학교별 대표교사가 일괄 출장 상신, 11/14(금) 재량휴업일은 개별 41조 연수, 미위촉자는 11/13~14 개별 41조 연수. 복무는 11/10까지 상신, 감독관 회의는 11/12 14시 각 시험장(신분증·인장 지참).",TRUE
133,2025-11,11/10,"행정실","급여","초과근무 지문등록 안내","초과근무 시간 확인용 지문인식기를 운영하므로 미등록자는 초과근무 전 반드시 행정실에서 지문등록을 하도록 전체 안내. 지문등록 없이 초과근무하면 수당 지급이 불가하므로 신규·전입 교직원에게 학기 초 안내가 필요.",TRUE
134,2025-11,11/17,"교무기획부","생기부","2학기 생기부 입력 연수 및 점검 계획","11/17 교직원회의에서 2학기 생기부 입력 안내·점검계획 연수를 실시하고, 연수자료와 참고자료를 패들렛 및 공유자료실(교무기획부-학교생활기록부)에 탑재. 이후 반별 마감(담임)과 교과 세특 수정 요청 등 점검이 이어지므로 12월 학기말 업무의 출발점.",TRUE
